Movie Name,Movie Detail Link,Directors,Casts
We Are the Best!,https://www.metacritic.com/movie/we-are-the-best,Lukas Moodysson,"Alexander Karlsson,Alvin Strollo,Ann-Sofie Rase,Anna Rydgren,Berndt,Charlie Falk,Clara Christiansson,David Dencik,Emrik Ekholm,Henrik Dahl,Johan Liljemark,Jonathan Salomonsson,Lena Carlsson,Lena Nylén,Lily Moodysson,Liv LeMoyne,Mads Korsgaard,Mattias Wiberg,Mira Barkhammar,Mira Grosin,Per Fenger-Krog,Peter Eriksson,Serina Bj,Sofi Ahlström Helleday,Steve Kratz,Vanja Engstr,Viveca Dahlén,Ylva Olaison,Johan Liljemark,Liv LeMoyne,Mira Barkhammar,Mira Grosin"
Spartacus,https://www.metacritic.com/movie/spartacus,Stanley Kubrick,"Charles Laughton,Charles McGraw,Harold J. Stone,Herbert Lom,Jean Simmons,Joanna Barnes,John Dall,John Gavin,John Ireland,Nina Foch,Peter Brocco,Peter Ustinov,Woody Strode,Kirk Douglas,Laurence Olivier"
Small Axe: Education,https://www.metacritic.com/movie/education,Steve McQueen,"Conor Lowson,Eddie-Joe Robinson,Jaden Oshenye,Nathan Vidal,Robert Godley-Harrod,Calum Callaghan,Ciarán Owens,Jim Sturgeon,John Boyega,Joy Richardson,Marina Hayter,Martin Portlock,Stephen Boxer,Steve Toussaint,Tyrone Huntley"
About Endlessness,https://www.metacritic.com/movie/about-endlessness,Roy Andersson,"Anders Hellström,Fanny Forsdik,Göran Holm,Jessica Louthander,Mattias Königsson,Stefan Karlsson,Amanda Davies,Ania Nova,Anja Broms,Anton Forsdik,Bengt Bergius,Gloria Ormandlaky,Jan-Eje Ferling,Karin Engman,Lesley Leichtweis Bernardi,Lotta Forsberg,Marie Burman,Martin Serner,Tatiana Delaunay,Thore Flygel"
Back to the Future,https://www.metacritic.com/movie/back-to-the-future,Robert Zemeckis,"Billy Zane,Casey Siemaszko,Claudia Wells,Crispin Glover,Frances Lee McCain,George DiCenzo,Harry Waters, Jr.,J.J. Cohen,James Tolkan,Lea Thompson,Marc McClure,Thomas F. Wilson,Wendie Jo Sperber,Christopher Lloyd,Michael J. Fox"
If Beale Street Could Talk,https://www.metacritic.com/movie/if-beale-street-could-talk,Barry Jenkins,"Aunjanue Ellis,Brian Tyree Henry,Colman Domingo,Doris McCarthy,Ed Skrein,Emily Rios,Faith Logan,Finn Wittrock,Marcia Jean Kurtz,Pedro Pascal,Stephan James,Teyonah Parris,Aunjanue Ellis,Brian Tyree Henry,Colman Domingo,Dave Franco,Diego Luna,Dominique Thorne,Ebony Obsidian,Ed Skrein,Emily Rios,Finn Wittrock,KiKi Layne,Michael Beach,Pedro Pascal,Regina King,Stephan James,Teyonah Parris"
My Journey Through French Cinema,https://www.metacritic.com/movie/my-journey-through-french-cinema,Bertrand Tavernier,"Antoine Duhamel,Bertrand Tavernier,Claude Chabrol,Eddie Constantine,Françoise Giroud,Georges de Beauregard,Jacques Becker,Jean Gabin,Jean-Luc Godard,Jean-Paul Belmondo,Jean-Paul Gaultier,Marcel Carné,Michel Deville,Raoul Coutard,Thierry Frémaux,André Marcon,Bertrand Tavernier,Claude Chabrol,Eddie Constantine,Georges de Beauregard,Jacques Becker,Jean-Paul Belmondo,Marcel Carné,Michel Deville,Raoul Coutard,Thierry Frémaux"
Wallace & Gromit: The Curse of the Were-Rabbit,https://www.metacritic.com/movie/wallace-gromit-the-curse-of-the-were-rabbit,"Nick Park,Steve Box","Dicken Ashworth,Edward Kelsey,Geraldine McEwan,John Thomson,Liz Smith,Mark Gatiss,Nicholas Smith,Noni Lewis,Pete Atkin,Peter Kay,Robert Horvath,Vincent Ebrahim,Helena Bonham Carter,Peter Sallis,Ralph Fiennes"
The Diary of a Teenage Girl,https://www.metacritic.com/movie/the-diary-of-a-teenage-girl,Marielle Heller,"Abby Wait,Alexander Skarsgård,Austin Lyon,Bel Powley,Carson Mell,Charles Lewis III,Christopher Meloni,David Fine,Davy Clements,Domino The Cat,Drew Benda,Giovanni Miller,John Parsons,Kristen Wiig,Madeleine Waters,Margarita Levieva,Miranda Bailey,Natalie Stephany Aguilar,Quinn Nagle,Samantha Hyde,Susannah Schulman,Alexander Skarsgård,Bel Powley,Christopher Meloni,Kristen Wiig,Madeleine Waters,Margarita Levieva"
Elena,https://www.metacritic.com/movie/elena,Andrei Zvyagintsev,"Aleksey Rozin,Andrey Smirnov,Nadezhda Markina,Yelena Lyadova"
